Name, Url, Fields, Locations
Tryolabs, https://tryolabs.com/, Machine Learning, "Montevideo, San Francisco"
Skydio, https://www.skydio.com/, "Drone, Computer Vision", Redwood City (California)
DAQRI, https://daqri.com/, Augmented Reality, "Los Angeles, Dublin, Battle (UK), Vienna"
Fizyr, https://fizyr.com/, Deep learning for vision guided robotics, Delft (The Netherlands)
AIRA, https://airarobotica.es/, Industrial Robotics, Cardona (Barcelona)
AKEOPLUS, http://www.akeoplus.com/, Industrial Robotics, "Grenoble, Bordeaux"
NAVER LABS Europe, http://www.europe.naverlabs.com/, "Artificial Intelligence, Computer Vision, 3D Vision", Meylan (Grenoble)
SenseTime, https://www.sensetime.com/, "Machine Learning, Deep Learning, Computer Vision", "Hong Kong, Beijing, Shenzhen, Shanghai, Chengdu, Hangzhou, Kyoto, Tokyo, Singapore"
VDG Sense, https://vdgsecurity.com/, Video Security Systems, Zoetermeer (The Netherlands)
Iris Automation, https://www.irisonboard.com/, "Drone, Computer Vision, Deep Learning", "San Francisco, Reno (Nevada)"
Savioke, "http://www.savioke.com/", "Service Robotics", "San Jose, Singapore"
Argo AI, https://www.argo.ai/, Self-Driving Technology, "Pittsburgh, Palo Alto, Princeton, Metro Detroit"
Eisko, https://www.eisko.com/, VFX, Paris
Prophesee, https://www.prophesee.ai/, "Machine Vision, Vision Sensors", "Paris, Grenoble"
BALYO, https://www.balyo.fr/, Industrial Robotics, "Ivry-sur-Seine, Woburn (US), Singapore"
AnatoScope, https://www.anatoscope.com/, Medical Robotics, Montpellier
Momenta, https://momenta.ai/en, "Self-Driving Technology, Deep Learning", Beijing
LumiGuide, https://lumi.guide/en/, Smart Mobility Solutions, Nijmegen (The Netherlands)
nuTonomy, https://www.nutonomy.com/, Self-Driving Technology, "Boston, Santa Monica, Singapore"
Jolibrain, https://www.jolibrain.com/, "Machine Learning, Deep Learning", Toulouse
6 River Systems, https://6river.com/, Industrial Robotics, Waltham (Massachusetts)
ANYbotics, https://www.anybotics.com/, Robotics, Zurich
Q-Bot, https://www.q-bot.co/, Robotics, Wandsworth (London)
DroneDeploy, https://www.dronedeploy.com/, Drone, Silicon Valley
CEVA, https://www.ceva-dsp.com/, "Computer Vision, Deep, Learning", Mountain View
Easymov Robotics, http://www.easymov.fr/, Industrial Robotics, Clermont-Ferrand
Visteon, https://www.visteon.com/, "Automotive Technology", "Brazil, Bulgaria, China, Cergy , Germany, Hungary, India, Japan, Mexico, Portugal, Romania, Russia, Slovakia, South Korea, Thailand, Tunisia, United Kingdom, United States"
3Dnovator, http://www.3dnovator.com/, 3D Reconstruction Software,
bookBeo, https://www.bookbeo.com/, Augmented Reality, "Le Faou, Rennes"
Aeolus Robotics, http://aeolusbot.com/, Robotics, "San Francisco, Taipei City"
TECNALIA, https://www.tecnalia.com/en/, Innovative Technology, Bizkaia (Spain)
Dorabot, http://www.dorabot.com/, Industrial Robotics, Shenzhen
SPEEDCARGO, https://www.speedcargo.sg/, Industrial Robotics, Singapore
LightMetrics, https://www.lightmetrics.co/, "Machine Learning, Computer Vision", US
Exotec Solutions, http://exotecsolutions.com/, Industrial Robotics, Croix (Lille)
Mati, https://getmati.com/, "Facial Recognition, ...", "San Francisco, Mexico City, Saint Petersburg"
Aimen Technology Centre, http://www.aimen.es/, Innovative Technology, Pontevedra (Spain)
Drive.ai, https://www.drive.ai/, Self-Driving Technology, "Mountain View, Frisco (Texas)"
Dishcraft Robotics, http://www.dishcraft.com/, Robots for Commercial Kitchens, San Carlos (California)
SITIA, http://www.sitia.fr/, Industrial Robotics, Bouguenais (Nantes)
SYHA, https://www.syha.co/, Agriculture Robotics, Montpellier
xperience.ai, http://xperience.ai/, "Computer Vision, Deep Learning", Nizhny Novgorod
Moley Robotics, http://www.moley.com/, Cooking Robot, London
TRA Robotics, https://www.tra.ai/, Industrial Robotics, "London, Saint Petersburg, Berlin"
Scaled Robotics, https://www.scaledrobotics.com/, Construction Robotics, Barcelona
Hanson Robotics, https://www.hansonrobotics.com/, Robotics, Hong Kong
FieldBox.ai, https://www.fieldbox.ai/, Machine Learning, "Bordeaux, Paris, Singapore"
pupil labs, https://pupil-labs.com/, "Virtual Reality, Augmented Reality", Berlin
Blickfeld, https://www.blickfeld.com/, "Self-Driving Technology, LIDAR", Munich
Mojin Robotics, https://mojin-robotics.de/en/, Service Robotics, Stuttgart
